nombre,cantidad,precio,descripcion,id_categoria,id_proveedor,caducidad,imagen
Detergente Foca,4.0,0.0,,1,1,,detergente_foca.jpg
Agua E-Pura 10 L.,3.0,0.0,,2,2,,agua_e_pura_10_l.jpg
Delicia 960 ML,3.0,0.0,,3,3,,delicia_960_ml.jpg
Frijoles Isadora 430g,9.0,0.0,,4,4,,frijoles_isadora_430g.jpg
Sopa Knort,6.0,0.0,,4,5,,sopa_knort.jpg
Spagheti Yemina,5.0,0.0,,5,6,,spagheti_yemina.jpg
Nescafe Decaf 40g,3.0,0.0,,6,7,,nescafe_decaf_40g.jpg
"La Lechera 74,9 ml",3.0,0.0,,20,8,,la_lechera_74_9_ml.jpg
Kelloggs Corn Flakes El original 150 g,1.0,0.0,,8,9,,kelloggs_corn_flakes_el_original_150_g.jpg
Knortr Caldo de pollo ,4.0,0.0,,20,10,,knortr_caldo_de_pollo.jpg
Pronto Hot Cakes Tradicional,1.0,0.0,,20,1,,pronto_hot_cakes_tradicional.jpg
Bombitos Gamesa,3.0,0.0,,20,2,,bombitos_gamesa.jpg
Doña Maria Mole 360 g,2.0,0.0,,20,3,,dona_maria_mole_360_g.jpg
Vinagre Blanco (Clement Jacques) 500 ml,3.0,0.0,,20,4,,vinagre_blanco_clement_jacques_500_ml.jpg
Vinagre Manzana 500ml,3.0,0.0,,20,5,,vinagre_manzana_500ml.jpg
Aceite Nutrioli 400ml,3.0,0.0,,20,6,,aceite_nutrioli_400ml.jpg
La Costeña Frijoles 560g,1.0,0.0,,4,7,,la_costena_frijoles_560g.jpg
Karol Maple 255ml,3.0,0.0,,20,8,,karol_maple_255ml.jpg
Palillos Pingüino 250,13.0,0.0,,20,9,,palillos_pinguino_250.jpg
McCormick Mermelada de Fresa y guayaba 165ml,4.0,0.0,,20,10,,mccormick_mermelada_de_fresa_y_guayaba_165ml.jpg
Tortillinas Tia Rosa 20pz,4.0,0.0,,20,1,,tortillinas_tia_rosa_20pz.jpg
Tuny Express 295g ,6.0,0.0,,20,2,,tuny_express_295g.jpg
Herdez Salsa Habanera 200g,5.0,0.0,,9,3,,herdez_salsa_habanera_200g.jpg
Nutella 1000g,1.0,0.0,,20,4,,nutella_1000g.jpg
Pan tostado Bimbo 14pz,1.0,0.0,,10,5,,pan_tostado_bimbo_14pz.jpg
Nesquik chocolate 68g,3.0,0.0,,20,6,,nesquik_chocolate_68g.jpg
Carnation Nestle Polvo 120g,4.0,0.0,,20,7,,carnation_nestle_polvo_120g.jpg
Malvaviscos MarshMallows 1K,2.0,0.0,,20,8,,malvaviscos_marshmallows_1k.jpg
Arroz Schettino 1Kg,5.0,0.0,,20,9,,arroz_schettino_1kg.jpg
Nescafe de olla 10g,6.0,0.0,,6,10,,nescafe_de_olla_10g.jpg
Nescafe Clasico 10g,5.0,0.0,,6,1,,nescafe_clasico_10g.jpg
Calahua Crema de coco 1L,5.0,0.0,,20,2,,calahua_crema_de_coco_1l.jpg
Carnation Nestle Leche 930ml,1.0,0.0,,20,3,,carnation_nestle_leche_930ml.jpg
Jumex Naranja 960ml,5.0,0.0,,20,4,,jumex_naranja_960ml.jpg
Jumex Uva 960ml,1.0,0.0,,20,5,,jumex_uva_960ml.jpg
Jumex Piña 960ml,2.0,0.0,,20,6,,jumex_pina_960ml.jpg
Mantecadas Tia Rosa 2pz,2.0,0.0,,20,7,,mantecadas_tia_rosa_2pz.jpg
Panque Bimbo Marmol 280g,1.0,0.0,,10,8,,panque_bimbo_marmol_280g.jpg
Panque Bimbo con Pazas 280g,1.0,0.0,,10,9,,panque_bimbo_con_pazas_280g.jpg
Bimbuñuelos Bimbo 99g,1.0,0.0,,20,10,,bimbunuelos_bimbo_99g.jpg
Bigotes con cajeta Tia Rosa 80g,2.0,0.0,,20,1,,bigotes_con_cajeta_tia_rosa_80g.jpg
Bigotes con chocolate Tia Rosa 80g,2.0,0.0,,20,2,,bigotes_con_chocolate_tia_rosa_80g.jpg
Pinguinos Marinela 80g,4.0,0.0,,20,3,,pinguinos_marinela_80g.jpg
Chocorroles Piña Marinela 80g,3.0,0.0,,20,4,,chocorroles_pina_marinela_80g.jpg
Submarinos Fresa Marinela 105g,1.0,0.0,,20,5,,submarinos_fresa_marinela_105g.jpg
Submarinos Vainilla Marinela 105g,1.0,0.0,,20,6,,submarinos_vainilla_marinela_105g.jpg
Gansito Marinela 50g,1.0,0.0,,20,7,,gansito_marinela_50g.jpg
Doraditas Tia Rosa 110g,2.0,0.0,,20,8,,doraditas_tia_rosa_110g.jpg
Palomitas ACT II Extra Mantequilla 87g,20.0,0.0,,20,9,,palomitas_act_ii_extra_mantequilla_87g.jpg
Mamut Gamesa 8pz 30g,1.0,0.0,,20,10,,mamut_gamesa_8pz_30g.jpg
Froot Loops Jelly Beans 284g,1.0,0.0,,20,1,,froot_loops_jelly_beans_284g.jpg
"Skittles Morados 61,5g",3.0,0.0,,20,2,,skittles_morados_61_5g.jpg
"Skittles Verdes 61,5g",5.0,0.0,,20,3,,skittles_verdes_61_5g.jpg
"Skittles Rojos 61,5g",2.0,0.0,,20,4,,skittles_rojos_61_5g.jpg
Skittles Gomitas Original  50g,3.0,0.0,,20,5,,skittles_gomitas_original_50g.jpg
Skittles Gomitas Original  99g,2.0,0.0,,20,6,,skittles_gomitas_original_99g.jpg
Salvavidas Gomitas Naranjas 56g,2.0,0.0,,20,7,,salvavidas_gomitas_naranjas_56g.jpg
"Starburst Original 58,7g",8.0,0.0,,20,8,,starburst_original_58_7g.jpg
"Starburst FaveRits 58,7g",6.0,0.0,,20,9,,starburst_faverits_58_7g.jpg
HotTamales 120g ,6.0,0.0,,20,10,,hottamales_120g.jpg
Reeses pieces 113g,1.0,0.0,,20,1,,reeses_pieces_113g.jpg
